Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,price/km,luxury,eco,relative_age
19,53,2007,9,300000.0,2200.0,0,0,9200.0,15,20000.0,0.030666666666666665,0,0,1
22,11,1994,10,300000.0,200.0,3,1,18000.0,28,10714.285714285714,0.06,0,0,1
40,93,2011,4,121000.0,1800.0,2,0,7900.0,11,11000.0,0.0652892561983471,0,1,1
14,80,2004,11,250000.0,1500.0,0,1,4000.0,18,13888.888888888889,0.016,0,0,1
40,24,2014,11,200000.0,1390.0,0,1,8600.0,8,25000.0,0.043,0,0,0
1,94,2013,9,143000.0,2000.0,4,0,17850.0,9,15888.888888888889,0.12482517482517483,0,0,0
42,37,2013,11,174000.0,2000.0,0,1,9650.0,9,19333.33333333333,0.055459770114942526,0,0,0
42,61,2009,11,200000.0,1400.0,4,1,4800.0,13,15384.615384615385,0.024,0,0,1
27,96,2007,3,137660.0,1500.0,0,1,6600.0,15,9177.333333333334,0.0479442103733837,0,0,1
28,23,2011,11,213548.0,1300.0,0,1,5650.0,11,19413.454545454544,0.026457751887163542,0,0,1
40,134,2006,10,193096.0,1500.0,4,1,3700.0,16,12068.5,0.019161453370344285,0,0,1
28,102,1992,2,400000.0,2000.0,3,1,1600.0,30,13333.333333333334,0.004,0,0,1
31,68,2016,3,150425.0,1500.0,0,0,14990.0,6,25070.83333333333,0.09965098886488283,0,0,0
11,54,2018,10,105000.0,2000.0,2,0,15000.0,4,26250.0,0.14285714285714285,0,1,0
42,89,2000,1,191000.0,1800.0,3,0,3850.0,22,8681.818181818182,0.020157068062827226,0,0,1
31,42,1998,4,129448.0,1600.0,4,0,2399.0,24,5393.666666666667,0.018532538162041902,0,0,1
31,102,2015,6,168000.0,1600.0,0,0,18650.0,7,24000.0,0.11101190476190476,0,0,0
2,6,1994,10,180000.0,1600.0,4,1,2400.0,28,6428.571428571428,0.013333333333333334,0,0,1
34,102,2015,3,150000.0,1400.0,4,0,11000.0,7,21428.571428571428,0.07333333333333333,0,0,0
19,102,2007,9,223000.0,2700.0,0,0,15000.0,15,14866.666666666666,0.06726457399103139,1,0,1
42,111,2011,11,141000.0,1400.0,4,1,9800.0,11,12818.181818181818,0.06950354609929078,0,0,1
42,89,2003,10,250000.0,1922.0,0,0,4600.0,19,13157.894736842103,0.0184,0,0,1
23,48,2006,10,250000.0,2200.0,0,0,9999.0,16,15625.0,0.039996,0,0,1
28,23,2011,11,176000.0,1300.0,0,1,6000.0,11,16000.0,0.03409090909090909,0,0,1
31,62,2014,11,167000.0,1500.0,0,0,8600.0,8,20875.0,0.05149700598802395,0,0,0
2,12,2008,10,387000.0,300.0,4,0,12000.0,14,27642.85714285714,0.031007751937984496,0,0,1
2,12,2011,10,180000.0,2999.0,0,0,22000.0,11,16363.636363636364,0.12222222222222222,1,0,1
29,102,2006,6,170000.0,2000.0,0,0,2000.0,16,10625.0,0.011764705882352941,0,0,1
13,35,2013,9,178500.0,2200.0,0,1,15700.0,9,19833.33333333333,0.08795518207282914,1,0,0
34,115,2012,10,265000.0,1800.0,4,0,8999.0,10,26500.0,0.03395849056603774,0,0,0
23,48,2002,10,331200.0,2200.0,0,0,6399.0,20,16560.0,0.019320652173913044,0,0,1
34,115,2017,10,120000.0,1999.0,4,0,23900.0,5,24000.0,0.19916666666666666,0,0,0
42,66,2013,10,110000.0,1400.0,2,0,8000.0,9,12222.222222222224,0.07272727272727272,0,1,0
14,136,2010,7,190000.0,2000.0,0,0,12000.0,12,15833.333333333334,0.06315789473684211,0,0,1
40,102,2014,4,144947.0,1496.0,2,0,7499.0,8,18118.375,0.051736151834808584,0,1,0
31,62,2012,11,180000.0,1500.0,0,1,7499.0,10,18000.0,0.041661111111111114,0,0,0
2,130,2012,9,157000.0,3000.0,4,0,17499.0,10,15700.0,0.11145859872611465,1,0,0
31,116,2016,10,151130.0,1500.0,0,1,12499.0,6,25188.33333333333,0.08270363263415602,0,0,0
31,81,2006,11,170000.0,2000.0,3,1,2900.0,16,10625.0,0.017058823529411765,0,0,1
27,67,2011,9,155000.0,1600.0,4,0,9300.0,11,14090.90909090909,0.06,0,0,1
37,102,2011,4,116000.0,1400.0,0,0,7300.0,11,10545.454545454546,0.06293103448275862,0,0,1
6,77,2007,10,185000.0,1500.0,0,1,3400.0,15,12333.333333333334,0.018378378378378378,0,0,1
27,128,2015,9,124000.0,1600.0,0,0,13000.0,7,17714.285714285714,0.10483870967741936,0,0,0
23,31,2015,11,222000.0,2000.0,5,0,17500.0,7,31714.285714285717,0.07882882882882883,0,1,0
40,103,2016,3,133494.0,2494.0,2,0,21500.0,6,22249.0,0.16105592760723328,1,1,0
23,105,2001,10,250830.0,4000.0,0,0,4700.0,21,11944.285714285714,0.018737790535422398,0,0,1
44,102,2016,10,150000.0,1596.0,3,1,3200.0,6,25000.0,0.021333333333333333,0,0,0
33,64,2011,11,190000.0,1200.0,0,1,5100.0,11,17272.727272727272,0.026842105263157896,0,0,1
27,67,2012,3,124000.0,1600.0,4,0,9999.0,10,12400.0,0.08063709677419355,0,0,0
1,15,1997,10,300000.0,1800.0,3,0,2700.0,25,12000.0,0.009,0,0,1
28,23,2012,11,200000.0,1300.0,0,1,6000.0,10,20000.0,0.03,0,0,0
5,102,2006,11,240000.0,1600.0,0,1,2700.0,16,15000.0,0.01125,0,0,1
23,31,2015,10,75000.0,2000.0,4,0,19000.0,7,10714.285714285714,0.25333333333333335,0,0,0
2,129,2009,9,192000.0,200.0,0,1,11000.0,13,14769.23076923077,0.057291666666666664,0,0,1
11,102,2011,4,130000.0,1400.0,3,1,4700.0,11,11818.181818181818,0.036153846153846154,0,0,1
43,133,2015,9,180000.0,2000.0,4,0,26500.0,7,25714.285714285717,0.14722222222222223,0,0,0
31,81,2014,11,210000.0,1500.0,0,1,7199.0,8,26250.0,0.034280952380952384,0,0,0
2,9,2017,10,77000.0,2000.0,0,0,33000.0,5,15400.0,0.42857142857142855,0,0,0
14,108,2012,9,180000.0,2200.0,0,0,16750.0,10,18000.0,0.09305555555555556,1,0,0
34,115,2012,10,196000.0,1600.0,0,1,9950.0,10,19600.0,0.05076530612244898,0,0,0
2,129,2015,3,159000.0,1996.0,0,0,20500.0,7,22714.285714285717,0.1289308176100629,0,0,0
27,102,2013,4,172000.0,1461.0,0,1,6299.0,9,19111.11111111111,0.036622093023255815,0,0,0
